amount,hour,freq_1h,freq_24h,avg_spend,spend_deviation,new_device,new_merchant,weekend,night_txn,fraud
2310.16,10,0,6,3471.25,-0.3344,0,0,0,0,1
891.23,7,3,7,630.09,0.4138,0,0,1,0,0
2897.29,7,2,5,1850.74,0.5652,0,0,0,0,0
10770.27,7,1,6,868.79,11.3837,0,0,0,0,0
771.83,14,3,5,517.91,0.4893,0,0,0,0,0
771.85,6,1,4,676.81,0.1402,0,0,1,0,1
11717.27,10,2,4,532.69,20.957,0,0,0,0,0
3467.37,17,0,2,869.16,2.9859,0,0,1,0,0
542.28,9,0,10,853.22,-0.364,0,0,0,0,0
2474.61,17,5,5,1980.91,0.2491,0,0,0,0,1
547.23,16,1,7,382.57,0.4293,0,0,0,0,0
545.34,9,3,4,385.65,0.413,0,0,0,0,0
1576.47,16,4,6,1772.85,-0.1107,0,0,1,0,0
62.18,16,1,2,697.16,-0.9095,0,0,0,0,0
82.49,11,0,8,588.01,-0.8583,0,1,0,0,1
471.81,8,1,4,60.02,6.7482,0,0,1,0,0
240.03,13,3,3,3195.31,-0.9246,0,0,1,0,0
1757.01,20,0,4,390.67,3.4885,0,0,0,0,0
280.89,15,1,5,886.29,-0.6823,0,0,0,0,0
131.83,8,0,3,394.27,-0.6639,1,0,0,0,1
9882.03,15,2,4,1336.39,6.3898,0,0,0,0,0
781.59,12,1,3,1678.03,-0.5339,0,0,0,0,0
1213.53,14,2,3,248.26,3.8726,0,0,0,0,0
129.4,16,0,7,3265.59,-0.9601,0,1,0,0,1
484.65,13,1,5,151.39,2.1869,0,0,1,0,1
1295.15,18,1,6,611.35,1.1167,0,0,0,0,0
195.1,16,1,9,244.27,-0.2005,0,0,0,0,0
1926.67,14,1,7,1289.24,0.494,0,0,0,0,0
445.43,8,1,6,3307.56,-0.8651,0,0,0,0,0
708.01,18,0,8,969.24,-0.2692,1,0,0,0,0
444.72,21,2,3,370.22,0.2007,0,0,0,0,0
17648.7,7,2,7,296.83,58.2604,0,0,1,0,0
1074.65,12,2,5,4800.08,-0.776,0,0,0,0,0
224.4,9,1,10,293.4,-0.2344,0,0,1,0,1
3766.18,17,8,5,251.39,13.9261,0,1,0,0,1
175.69,16,6,8,390.0,-0.5481,0,0,0,0,0
1500.11,7,0,11,411.79,2.6365,0,0,0,0,1
58.0,19,0,4,331.62,-0.8226,0,0,1,0,0
149.56,8,2,4,291.87,-0.4859,0,0,0,0,0
1473.35,17,2,5,548.38,1.6836,0,0,0,0,0
3319.93,12,3,4,759.54,3.3665,0,0,0,0,1
1418.07,10,2,5,773.15,0.8331,0,0,1,0,0
921.98,8,0,5,102.98,7.8767,0,0,0,0,1
698.09,8,1,12,295.47,1.358,0,0,0,0,0
119.37,15,1,4,475.1,-0.7472,0,0,0,0,0
372.5,13,5,1,634.63,-0.4124,0,0,1,0,1
549.52,7,1,7,785.04,-0.2996,0,0,0,0,0
5354.45,7,3,5,197.43,25.9893,0,0,1,0,0
1836.15,7,2,3,584.57,2.1374,1,0,0,0,0
77.9,16,4,3,4159.62,-0.981,0,0,0,0,0
1783.13,16,1,3,371.88,3.7847,0,0,1,0,0
615.46,6,2,6,138.15,3.4303,0,0,0,0,0
397.27,13,0,7,2152.88,-0.8151,0,0,0,0,0
2744.94,7,0,6,631.78,3.3395,0,0,0,0,0
5148.7,20,1,8,373.33,12.7571,0,0,0,0,1
4433.39,20,2,7,2927.6,0.5142,0,0,1,0,0
311.43,16,2,4,27.48,9.9699,0,0,0,0,0
689.65,20,3,4,396.71,0.7366,0,0,0,0,0
1802.44,18,3,5,118.22,14.1271,0,0,0,0,0
4737.75,18,3,3,3160.54,0.4989,0,0,1,0,1
534.45,14,1,4,355.71,0.5011,0,0,1,0,1
830.07,10,1,2,153.74,4.3706,0,0,0,0,0
208.62,8,0,4,122.63,0.6955,0,0,0,0,0
182.31,10,1,4,2056.92,-0.9109,0,0,0,0,0
3710.01,15,5,6,4943.01,-0.2494,0,0,0,0,0
